english_title,japanese_title,producer,serial,date,category
Lagoon,ラグーン,ケムコ（コトブキシステム）/ ズーム / Kemco / Zoom,SHVC-LA / SNS-LA,1991-12-13 / 1991-01-01,Action / RPG
Lemmings,レミングス,サンソフト（サン電子） / Sunsoft (Sun Electronics) / Psygnosis,SHVC-LE / SNS-LE,1991-12-18 / 1992-03-01,Puzzle / Logic
Dungeon Master,ダンジョンマスター,ビクター音楽産業 / Victor Musical Industries / Software Heaven / FTL Games,SHVC-V2 / SNS-V2,1991-12-20 / 1993-01-01,RPG / First Person
Dimension Force,ディメンションフォース,アスミック / Asmik,SHVC-DF,1991-12-20,Shooter / Vertical
Super Fire Pro Wrestling,スーパーファイヤープロレスリング,ヒューマン / Human,SHVC-FP,1991-12-20,Sports / Wrestling
Super Nobunaga no Yabou - Bushou Fuuunroku,スーパー信長の野望 武将風雲録,光栄 / Koei,SHVC-IZ,1991-12-21,Strategy
SD Gundam Gaiden - Knight Gundam Monogatari - Ooinaru Isan,SDガンダム外伝 ナイトガンダム物語 大いなる遺産,エンジェル / バンダイ / Angel / Bandai,SHVC-KG,1991-12-21,RPG
Thunder Spirits,サンダースピリッツ,東芝EMI / テクノソフト / Toshiba EMI / Technosoft,SHVC-TH-(TOPN-2001) / SNS-TH,1991-12-27 / 1991-01-01,Shooter / Horizontal
Hansei Zaru Jirou-kun no Daibouken,反省ザル ジローくんの大冒険,ナツメ / Natsume,SHVC-HJ,1991-12-27,Puzzle / Platformer
Super Chinese World,スーパーチャイニーズワールド,カルチャーブレーン / Culture Brain,SHVC-CW,1991-12-28,Action / RPG
Battle Commander - Hachibushu Shura no Heihou,バトルコマンダー 八武衆、修羅の兵法,バンプレスト / Banpresto,SHVC-BC,1991-12-29,Strategy
Sim Earth - The Living Planet,シムアース,イマジニア / トムキャットシステム / マクシス / Imagineer / Tomcat System / Maxis,SHVC-SE / SNS-SE,1991-12-29 / 1993-02-01,Strategy / Management
