Source;Version;Titre;URL;Prix;Date
Yahoo;99;【箱付き】【動作品】ザ・キング・オブ・ファイターズ99 ネオジオ NEOGEO;https://page.auctions.yahoo.co.jp/jp/auction/j1226874535;¥42,350;2026-04-22 13:24 UTC
Yahoo;99;ネオジオROM ザ・キング・オブ・ファイターズ 99;https://page.auctions.yahoo.co.jp/jp/auction/z185940514;¥46,700;2026-04-25 06:02 UTC
Yahoo;99;帯付き★ザ・キング・オブ・ファイターズ99★ネオジオCD;https://page.auctions.yahoo.co.jp/jp/auction/x1228778183;¥6,020;2026-05-10 13:19 UTC
Yahoo;99;動作保証品 NG ネオジオCD ザ・キング・オブ・ファイターズ ’99 THE KING OF FIGHTERS 箱説帯ハガキ付【PP;https://page.auctions.yahoo.co.jp/jp/auction/q1228922141;¥7,800;2026-05-12 12:41 UTC
Mercari;99;動作確認済/THE KING OF FIGHTERS 99 ネオジオROM;https://jp.mercari.com/item/m43433802626;¥52,500;2026-05-14 08:31 UTC
Yahoo;99;【箱付き】【動作品】ザ・キング・オブ・ファイターズ99 ネオジオ NEOGEO;https://page.auctions.yahoo.co.jp/jp/auction/f1230308468;¥70,400;2026-05-20 13:21 UTC
Mercari;99;【匿名発送】ネオジオ　キングオブファイターズ99 NEOGEO KOF99;https://jp.mercari.com/item/m52611395369;¥60,000;2026-05-22 17:09 UTC
Yahoo;99;ネオジオ ロム キングオブファイターズ99 NEOGEO ROM SNK;https://page.auctions.yahoo.co.jp/jp/auction/z610777988;¥67,700;2026-05-23 18:40 UTC
Yahoo;99;●極美品 箱説付き●ネオジオ キングオブファイターズ99 NEOGEO SNK ハガキと未使用テレカ2枚付き コレクション;https://page.auctions.yahoo.co.jp/jp/auction/e1230229796;¥85,000;2026-05-24 13:42 UTC
Yahoo;99;(管106487)【ゲームソフト】THE KING OF FIGHTERS '99 ザキングオブファイターズ KOF ネオジオ NEOGEO ROM 箱説有 現状品 動作未チェック;https://page.auctions.yahoo.co.jp/jp/auction/h1230917950;¥61,000;2026-05-29 12:42 UTC
