Source;Titre;URL;Prix;Date
Yahoo;動作確認済 NG サムライスピリッツ斬紅郎無双剣;https://page.auctions.yahoo.co.jp/jp/auction/q1212839190;¥14,850;2026-01-01 13:34 UTC
Mercari;SNK NEOGEO - ネオジオ サムライスピリッツ 斬紅郎無双剣;https://jp.mercari.com/item/m82586653998;¥18,400;2026-01-05 01:52 UTC
Yahoo;ネオジオ　 斬紅郎無双剣　サムライスピリッツ　ロム　rom;https://page.auctions.yahoo.co.jp/jp/auction/z539830354;¥11,000;2026-01-08 02:15 UTC
Yahoo;【中古】NG）SNK/サムライスピリッツ 斬紅郎無双剣/NEOGEO[240006541133];https://page.auctions.yahoo.co.jp/jp/auction/k1205067921;¥19,580;2026-01-12 13:17 UTC
Yahoo;NG サムライスピリッツ斬紅郎無双剣;https://page.auctions.yahoo.co.jp/jp/auction/q1215471233;¥14,300;2026-01-15 13:40 UTC
Yahoo;サムライスピリッツ 斬紅郎無双剣 / NEOGEO ネオジオ;https://page.auctions.yahoo.co.jp/jp/auction/k1216515614;¥16,000;2026-01-25 13:11 UTC
Yahoo;Yn5149 SNK NEOGEO ROM ネオジオ ロムカセットサムライスピリッツ 斬紅郎無双剣 説明書あり 簡易動作確認済 中古;https://page.auctions.yahoo.co.jp/jp/auction/s1216528712;¥17,111;2026-01-25 13:38 UTC
Yahoo;●格闘ゲーム【サムライスピリッツ 斬紅郎無双剣】ネオジオROM レトロゲーム　箱　説明書あり　0127;https://page.auctions.yahoo.co.jp/jp/auction/f1217483932;¥16,980;2026-01-27 14:20 UTC
Yahoo;【箱付き】【動作品】サムライスピリッツ斬紅郎無双剣 ネオジオ NEOGEO;https://page.auctions.yahoo.co.jp/jp/auction/o1217553876;¥17,050;2026-02-04 13:37 UTC
Yahoo;1円〜 ネオジオ ロムカセット サムライスピリッツ 斬紅郎無双剣;https://page.auctions.yahoo.co.jp/jp/auction/b1218555904;¥11,151;2026-02-07 13:17 UTC
Yahoo;【NG】 サムライスピリッツ 斬紅郎無双剣;https://page.auctions.yahoo.co.jp/jp/auction/z555523890;¥16,200;2026-02-07 23:02 UTC
Yahoo;GAMEBOY ゲームボーイ　熱闘　サムライスピリッツ　斬紅郎無双剣;https://page.auctions.yahoo.co.jp/jp/auction/n1218142146;¥13,250;2026-02-08 13:25 UTC
Mercari;【中古】ネオジオソフト サムライスピリッツ 斬紅郎無双剣 (ロムカートリッジ);https://jp.mercari.com/item/m82663142530;¥17,900;2026-02-12 07:20 UTC
Mercari;サムライスピリッツ斬紅郎無双剣;https://jp.mercari.com/item/m58893024641;¥20,000;2026-02-15 12:47 UTC
Yahoo;〈管104210〉【NEGEO】ネオジオ ROM サムライスピリッツ SAMURAI SPIRITS 斬紅郎無双剣 箱 説明書付き　動作未チェック 中古現状品;https://page.auctions.yahoo.co.jp/jp/auction/c1219483583;¥16,000;2026-02-16 12:48 UTC
Yahoo;【説明書なし】 NEO GEO ネオジオ ロムカセット サムライスピリッツ斬紅郎無双剣;https://page.auctions.yahoo.co.jp/jp/auction/1219025081;¥10,775;2026-02-16 13:18 UTC
Yahoo;サムライスピリッツ斬紅郎無双剣　NEOGEO　ネオジオ　カセット　動作未確認　現状渡し;https://page.auctions.yahoo.co.jp/jp/auction/s1219585470;¥5,000;2026-02-21 11:11 UTC
Yahoo;動作保証品 NG ネオジオROM サムライスピリッツ 斬紅郎無双剣 NEOGEO エス・エヌ・ケイ SNK 箱説付【10;https://page.auctions.yahoo.co.jp/jp/auction/e1219835113;¥16,170;2026-02-21 12:59 UTC
Yahoo;【箱付き】熱闘サムライスピリッツ斬紅郎無双剣 ゲームボーイ GB;https://page.auctions.yahoo.co.jp/jp/auction/h1220207465;¥5,172;2026-02-23 13:55 UTC
Yahoo;★サムライスピリッツ 斬紅郎無双剣 SNK ネオジオ NEOGEO★;https://page.auctions.yahoo.co.jp/jp/auction/m1219921571;¥19,800;2026-02-24 13:20 UTC
