Source;Titre;URL;Prix;Date
Mercari;ザ・キング・オブ・ファイターズ97 ネオジオ;https://jp.mercari.com/item/m51542566223;¥19,800;2026-01-02 11:33 UTC
Yahoo;【中古】[FIG]紙吹雪シート無し SNK美少女 レオナ・ハイデルン -THE KING OF FIGHTERS '97-(ザ・キング・オブ・ファイターズ97) 1/7 完成品;https://page.auctions.yahoo.co.jp/jp/auction/l1213569744;¥11,526;2026-01-03 12:28 UTC
Yahoo;ザ・キング・オブ・ファイターズ97(ROMカセット)　No.2991;https://page.auctions.yahoo.co.jp/jp/auction/p1213703819;¥24,000;2026-01-11 12:51 UTC
Mercari;ネオジオROMソフト ザ・キング・オブ・ファイターズ’97 SNK KOF97;https://jp.mercari.com/item/m56532819820;¥24,000;2026-01-14 16:05 UTC
Yahoo;ザ・キング・オブ・ファイターズ'97 / NEOGEO ネオジオ;https://page.auctions.yahoo.co.jp/jp/auction/1215550688;¥25,388;2026-01-18 12:11 UTC
Yahoo;ザキングオブファイターズ97【NEOGEO】【ハガキ付】ROM版;https://page.auctions.yahoo.co.jp/jp/auction/d1216904781;¥23,000;2026-01-22 14:03 UTC
Yahoo;中古品 ゲーム ネオジオ SNK ザ・キング・オブ・ファイターズ97 カセット;https://page.auctions.yahoo.co.jp/jp/auction/q1216685805;¥19,910;2026-01-22 14:35 UTC
Yahoo;6275 NEOGEO ネオジオ キング オブ ファイターズ ROM SNK KOF ロムカセット ファイターズ97 動作未確認;https://page.auctions.yahoo.co.jp/jp/auction/n1216161992;¥25,388;2026-01-22 14:55 UTC
Yahoo;【説明書欠品】ザ キング オブ ファイターズ97 箱付き ネオジオ SNK;https://page.auctions.yahoo.co.jp/jp/auction/w1217138900;¥7,980;2026-01-24 11:48 UTC
Yahoo;Yn5145 SNK NEOGEO ROM ネオジオ ロムカセット ザ・キング・オブ・ファイターズ 97 KOF 簡易動作確認済 中古;https://page.auctions.yahoo.co.jp/jp/auction/e1216520399;¥22,000;2026-01-25 13:35 UTC
Yahoo;ザキングオブファイターズ97NG 【NEOGEO】;https://page.auctions.yahoo.co.jp/jp/auction/z550835028;¥22,000;2026-01-29 13:03 UTC
Yahoo;動作確認済 NG ザ・キング・オブ・ファイターズ'97;https://page.auctions.yahoo.co.jp/jp/auction/m1212849359;¥26,400;2026-02-04 13:47 UTC
Yahoo;#【SNK NEOGEO ザ・キング・オブ・ファイターズ 97 ネオジオ ゲームソフト ロムカセット 取説 元箱 レトロ 動作未確認 ジャンク品】R01238;https://page.auctions.yahoo.co.jp/jp/auction/s1218475716;¥25,300;2026-02-08 14:01 UTC
Mercari;希少《ネオジオROM》ザ・キングオブファイターズ 97;https://jp.mercari.com/item/m90454185370;¥24,300;2026-02-12 04:33 UTC
Yahoo;【コレクション放出 No.36】　熱闘　ザ・キング・オブ・ファイターズ97;https://page.auctions.yahoo.co.jp/jp/auction/u1218937169;¥7,350;2026-02-13 14:11 UTC
Yahoo;NG ザ・キング・オブ・ファイターズ'97;https://page.auctions.yahoo.co.jp/jp/auction/n1217945982;¥26,400;2026-02-14 11:52 UTC
Mercari;THE KING OF FIGHTERS '97 NEO GEO　ハガキあり;https://jp.mercari.com/item/m22098632884;¥25,000;2026-02-15 12:01 UTC
Yahoo;レア 希少 ザ・キング・オブ・ファイターズ 97 THE KING OF FIGHTERS' 97 NEOGEO ROM ネオジオ ロム SNK KOF ;https://page.auctions.yahoo.co.jp/jp/auction/q1199322609;¥30,000;2026-02-15 13:59 UTC
Yahoo;NG ザ・キング・オブ・ファイターズ'97;https://page.auctions.yahoo.co.jp/jp/auction/g1214520391;¥26,400;2026-02-17 13:55 UTC
Yahoo;【箱付き】【動作品】ザ・キング・オブ・ファイターズ97 ネオジオ NEOGEO;https://page.auctions.yahoo.co.jp/jp/auction/n1219942741;¥28,600;2026-02-22 13:01 UTC
Yahoo;SNK NEOGEO ネオジオ ロムカセット ゲームソフト THE KING OF FIGHTERS’97 ザ・キング・オブ・ファイターズ ケース付;https://page.auctions.yahoo.co.jp/jp/auction/m1220368904;¥23,001;2026-02-22 14:23 UTC
Yahoo;ネオジオ KoF'97 + 解説本のオマケ付き ザ・キング・オブ・ファイターズ'97 オマケ付き ロムカセット NEOGEO（中古品）;https://page.auctions.yahoo.co.jp/jp/auction/o1219859357;¥35,597;2026-02-24 12:13 UTC
Yahoo;mY405a [箱説有] NEOGEO ソフト ザ・キング・オブ・ファイターズ 97 / ネオジオ ROM カセット ☆ | ゲーム X;https://page.auctions.yahoo.co.jp/jp/auction/d1220295229;¥25,972;2026-02-25 13:56 UTC
Mercari;SNK NEOGEO KOF97 動作確認・清掃・メンテナンス済;https://jp.mercari.com/item/m60888332961;¥27,800;2026-03-01 16:39 UTC
Mercari;松*郎様 動作ＯＫ！　ザ・キング・オブ・ファイターズ‘97 ネオジオ;https://jp.mercari.com/item/m88519245626;¥22,000;2026-03-06 08:58 UTC
Yahoo;2E040 NEOGEO ネオジオ ロムカセット THE KING OF FIGHTERS '97 ザ・キング・オブ・ファイターズ ゲームソフト ゲーム ホビー;https://page.auctions.yahoo.co.jp/jp/auction/x1221478454;¥10,100;2026-03-08 12:56 UTC
Mercari;【中古】NEOGEO ROM THE KING OF FIGHTERS '97;https://jp.mercari.com/item/m83794076638;¥20,000;2026-03-14 13:52 UTC
Mercari;NEOGEO ネオジオ ロム版「ザ・キングオブファイターズ KOF 97」;https://jp.mercari.com/item/m93068685455;¥32,599;2026-03-24 04:07 UTC
Yahoo;【箱付き】【動作品】ザ・キング・オブ・ファイターズ97 ネオジオ NEOGEO;https://page.auctions.yahoo.co.jp/jp/auction/r1223911992;¥30,728;2026-03-26 13:28 UTC
Yahoo;1円〜 動作品 NG ネオジオROM ザ・キング・オブ・ファイターズ’97 箱説付【10;https://page.auctions.yahoo.co.jp/jp/auction/b1224030930;¥20,570;2026-03-29 12:41 UTC
Yahoo;NEOGEO キング オブ ファイターズ97 SNK KOF ネオジオ ROM;https://page.auctions.yahoo.co.jp/jp/auction/q1224358887;¥26,000;2026-03-29 12:45 UTC
Yahoo;ザ・キング・オブ・ファイターズ97 ネオジオ NEOGEO;https://page.auctions.yahoo.co.jp/jp/auction/d1224706442;¥14,850;2026-04-03 14:02 UTC
Yahoo;ザキングオブファイターズ97NG 【NEOGEO】;https://page.auctions.yahoo.co.jp/jp/auction/z563819010;¥24,000;2026-04-09 14:05 UTC
Yahoo;【箱付き】【動作品】ザ・キング・オブ・ファイターズ97 ネオジオ NEOGEO;https://page.auctions.yahoo.co.jp/jp/auction/e1225548113;¥26,952;2026-04-10 13:33 UTC
Yahoo;コレクター放出 レア 希少 ザ・キング・オブ・ファイターズ 97 THE KING OF FIGHTERS' 97 NEOGEO ROM ネオジオ ロム SNK KOF ;https://page.auctions.yahoo.co.jp/jp/auction/n1226078770;¥27,509;2026-04-14 13:25 UTC
Yahoo;コトブキヤ レオナ・ハイデルン ヤミノナカオロチノチニメザメルレオナ 1/7 SNK美少女 コトブキヤ限定 ザ・キング・オブ・ファイターズ'97;https://page.auctions.yahoo.co.jp/jp/auction/j1222664963;¥15,400;2026-04-14 13:42 UTC
Mercari;NEO GEO ザ・キング・オブ・ファイターズ97;https://jp.mercari.com/item/m36609036473;¥33,000;2026-04-22 11:32 UTC
Yahoo;(管105987)【ゲームソフト】THE KING OF FIGHTERS '97 ザキングオブファイターズ KOF ネオジオ NEOGEO ROM 箱説有 現状品 動作未チェック;https://page.auctions.yahoo.co.jp/jp/auction/e1227097615;¥25,500;2026-04-22 12:09 UTC
Yahoo;ザキングオブファイターズ97NG 【NEOGEO】;https://page.auctions.yahoo.co.jp/jp/auction/z590783876;¥30,000;2026-04-22 14:41 UTC
Yahoo;【動作確認済み】NEOGEO ザ・キング・オブファイターズ '97 KOF 97 ROM ロム ソフト カセット ネオジオ SNK;https://page.auctions.yahoo.co.jp/jp/auction/z597336450;¥28,000;2026-04-23 14:02 UTC
Mercari;SNK NEOGEOロム　ザ・キング・オブ・ファイターズ'97;https://jp.mercari.com/item/m48505081996;¥33,000;2026-04-24 21:09 UTC
Yahoo;♪ザ・キング・オブ・ファイターズ ’97 八神庵 1/8スケール スタチュー＊同梱不可;https://page.auctions.yahoo.co.jp/jp/auction/x1227684123;¥27,980;2026-04-26 13:12 UTC
Yahoo;レア 希少 ザ・キング・オブ・ファイターズ 97 THE KING OF FIGHTERS' 97 NEOGEO ROM ネオジオ ロム SNK KOF ;https://page.auctions.yahoo.co.jp/jp/auction/t1219818658;¥33,000;2026-04-30 01:32 UTC
Mercari;NEO GEO ザ・キング・オブ・ファイターズ97;https://jp.mercari.com/item/m90567315528;¥42,000;2026-05-02 07:44 UTC
Yahoo;636/ タンシスタジオ ザ・キング・オブ・ファイターズ ‘97 ブルー・マリー;https://page.auctions.yahoo.co.jp/jp/auction/k1199395271;¥32,000;2026-05-03 11:44 UTC
Yahoo;【1円～】ザ・キング・オブ・ファイターズ ’97 1/12 八神庵;https://page.auctions.yahoo.co.jp/jp/auction/j1222544424;¥9,900;2026-05-03 13:05 UTC
Yahoo;レア 希少 ザ・キング・オブ・ファイターズ 97 THE KING OF FIGHTERS' 97 NEOGEO ROM ネオジオ ロム SNK KOF ;https://page.auctions.yahoo.co.jp/jp/auction/k1228368684;¥40,000;2026-05-03 17:31 UTC
Yahoo;NG ザ・キング・オブ・ファイターズ 97 THE KING OF FIGHTERS' 97 KOF SNK ネオジオ NEOGEO NEO-GEO ROM ロム カセット 動作確認済;https://page.auctions.yahoo.co.jp/jp/auction/j1228308251;¥32,500;2026-05-04 13:22 UTC
Mercari;THE KING OF FIGHTERS '97 NEO GEO;https://jp.mercari.com/item/m19415229516;¥42,000;2026-05-06 14:02 UTC
Yahoo;レア 希少 ザ・キング・オブ・ファイターズ 97 THE KING OF FIGHTERS' 97 NEOGEO ROM ネオジオ ロム SNK KOF ;https://page.auctions.yahoo.co.jp/jp/auction/c1228872673;¥42,000;2026-05-06 16:38 UTC
Yahoo;ザ・キングオブファイターズ97 THE KING OF FIGHTERS' 97 NEOGEO ROM ネオジオ ロム SNK ;https://page.auctions.yahoo.co.jp/jp/auction/z605111178;¥44,000;2026-05-07 05:05 UTC
Yahoo;美品　ザキングオブファイターズ97;https://page.auctions.yahoo.co.jp/jp/auction/z605719040;¥42,000;2026-05-07 11:01 UTC
Yahoo;【国内正規品 ハガキ有】THE KING OF FIGHTERS 97 キング オブ ファイターズ97 NEOGEO ネオジオ SNK ロムカセット;https://page.auctions.yahoo.co.jp/jp/auction/m1228788818;¥41,600;2026-05-07 13:12 UTC
Yahoo;レア 希少 ザ・キング・オブ・ファイターズ 97 THE KING OF FIGHTERS' 97 NEOGEO ROM ネオジオ ロム SNK KOF ;https://page.auctions.yahoo.co.jp/jp/auction/c1229003251;¥45,000;2026-05-08 19:10 UTC
