Source;Titre;URL;Prix;Date
Mercari;ネオジオ ロムカセット ザ・キング・オブ・ファイターズ95 KOF95;https://jp.mercari.com/item/m37227275527;¥13,000;2026-01-02 12:42 UTC
Mercari;The King of Fighters '95 NEO GEO ソフト;https://jp.mercari.com/item/m47511265361;¥13,000;2026-01-08 13:38 UTC
Yahoo;◆◇キ359 NEOGEO ネオジオ ロムカセット ROM ザ・キング・オブ・ファイターズ 95 KOF 95 SNK◇◆;https://page.auctions.yahoo.co.jp/jp/auction/m1215202234;¥12,800;2026-01-11 12:12 UTC
Yahoo;SNK ネオジオROM版 ザ・キング・オブ・ファイターズ'95 ゲームカセット 定形外郵便全国一律920円 K2-MA;https://page.auctions.yahoo.co.jp/jp/auction/t1215195553;¥16,550;2026-01-15 13:37 UTC
Mercari;キングオブファイターズ95 スペシャルアイテムボックス SNK 非売品;https://jp.mercari.com/item/m61906909125;¥6,500;2026-01-16 01:04 UTC
Yahoo;ザ・キング・オブ・ファイターズ'95 / NEOGEO ネオジオ;https://page.auctions.yahoo.co.jp/jp/auction/j1215544132;¥19,000;2026-01-18 12:08 UTC
Yahoo;ザ キング オブ ファイターズ95【KOF95】【NEOGEO】ROM版;https://page.auctions.yahoo.co.jp/jp/auction/u1216907538;¥15,000;2026-01-22 14:02 UTC
Yahoo;6281 NEOGEO ネオジオ キング オブ ファイターズ95 ROM ファイターズ THE KING SNK 動作未確認;https://page.auctions.yahoo.co.jp/jp/auction/m1216165611;¥16,050;2026-01-22 15:08 UTC
Yahoo;【箱付き】ザ・キング・オブ・ファイターズ95 ネオジオ NEOGEO;https://page.auctions.yahoo.co.jp/jp/auction/b1216633302;¥16,060;2026-01-23 13:56 UTC
Yahoo;熱闘 ザ・キング・オブ・ファイターズ’95 ゲームボーイ タカラ 箱・説明書・ハガキあり;https://page.auctions.yahoo.co.jp/jp/auction/d1211745798;¥12,816;2026-01-24 16:06 UTC
