Source;Titre;URL;Prix;Date
Yahoo;◆◇キ360 NEOGEO ネオジオ ロムカセット ROM リアルバウト餓狼伝説 REAL BOUT SNK◇◆;https://page.auctions.yahoo.co.jp/jp/auction/m1215204932;¥22,000;2026-01-11 12:18 UTC
Yahoo;●格闘ゲーム【リアルバウト餓狼伝説】ネオジオROM レトロゲーム　箱　説明書あり　0107;https://page.auctions.yahoo.co.jp/jp/auction/t1215071569;¥29,800;2026-01-15 12:07 UTC
Yahoo;mW157a [箱説有] NEOGEO ソフト リアルバウト餓狼伝説 / ネオジオ ROM カセット☆ | ゲーム X;https://page.auctions.yahoo.co.jp/jp/auction/j1216037860;¥25,850;2026-01-19 13:42 UTC
Yahoo;リアルバウト餓狼伝説 / NEOGEO ネオジオ;https://page.auctions.yahoo.co.jp/jp/auction/o1216521734;¥25,501;2026-01-25 12:57 UTC
Yahoo;Yn5150 SNK NEOGEO ROM ネオジオ ロムカセットリアルバウト 餓狼伝説 説明書あり 簡易動作確認済 中古;https://page.auctions.yahoo.co.jp/jp/auction/v1216523795;¥23,500;2026-01-25 13:37 UTC
Yahoo;1円〜 ネオジオ ロムカセット リアルバウト 餓狼伝説;https://page.auctions.yahoo.co.jp/jp/auction/w1218554495;¥30,800;2026-02-07 14:29 UTC
Yahoo;NG リアルバウト餓狼伝説;https://page.auctions.yahoo.co.jp/jp/auction/v1218918676;¥19,800;2026-02-11 13:44 UTC
Mercari;【希少】ネオジオ リアルバウト餓狼伝説　★ ネオジオROM★;https://jp.mercari.com/item/m15087856326;¥65,000;2026-02-15 09:59 UTC
Yahoo;△A369-41 SNK NEOGEO ROM ネオジオ ロム カセット REAL BOUT リアルバウト 餓狼伝説 【説明書なし】【動作未確認】【傷みあり】;https://page.auctions.yahoo.co.jp/jp/auction/s1217021147;¥14,000;2026-02-17 01:14 UTC
Yahoo;【中古】NG）リアルバウト 餓狼伝説[240024513899];https://page.auctions.yahoo.co.jp/jp/auction/o1186300320;¥27,280;2026-02-24 11:17 UTC
Yahoo;美品 ネオジオ リアルバウト餓狼伝説 餓狼伝説3 箱説明書有り レトロゲーム NEOGEO;https://page.auctions.yahoo.co.jp/jp/auction/p1221213331;¥50,001;2026-03-02 13:16 UTC
Yahoo;ネオジオROM　リアルバウト餓狼伝説　当時物;https://page.auctions.yahoo.co.jp/jp/auction/q1221742533;¥23,750;2026-03-09 10:14 UTC
Yahoo;●【リアルバウト餓狼伝説】ネオジオROM レトロゲーム　箱　説明書あり　格闘ゲーム;https://page.auctions.yahoo.co.jp/jp/auction/g1218610352;¥33,000;2026-03-14 09:04 UTC
Mercari;【中古】NEOGEO ROM リアルバウト餓狼伝説;https://jp.mercari.com/item/m58071879038;¥25,000;2026-03-14 13:33 UTC
Yahoo;動作確認済 ［ NEOGEO ROMカセット ］ リアルバウト餓狼伝説 【中古品】［取説有り］ ネオジオ ロムカセット;https://page.auctions.yahoo.co.jp/jp/auction/v1223192915;¥24,000;2026-03-22 13:03 UTC
Yahoo;動作保証品 NG ネオジオROM リアルバウト餓狼伝説 箱付【10;https://page.auctions.yahoo.co.jp/jp/auction/d1223917371;¥17,050;2026-03-28 12:03 UTC
Yahoo;NEOGEO リアルバウト餓狼伝説 ネオジオ ROM ロムカセット ソフト REALBOUT SNK;https://page.auctions.yahoo.co.jp/jp/auction/h1224114173;¥21,500;2026-03-29 12:38 UTC
Yahoo;【NG】 リアルバウト餓狼伝説 B;https://page.auctions.yahoo.co.jp/jp/auction/z586258626;¥25,000;2026-04-03 12:17 UTC
