Source;Version;Titre;URL;Prix;Date
Yahoo;2000;ネオジオROMソフト　　 ザ・キング・オブ・ファイターズ 2000;https://page.auctions.yahoo.co.jp/jp/auction/z185776980;¥59,600;2026-01-01 13:01 UTC
Yahoo;2000;ネオジオAES用ROM★ザ・キング・オブ・ファイターズ2000 (THE KING OF FIGHTERS 2000)★箱説付★動作品;https://page.auctions.yahoo.co.jp/jp/auction/n1214856125;¥54,000;2026-01-11 14:22 UTC
Yahoo;2000;ザ・キング・オブ・ファイターズ2000 / NEOGEO ネオジオ;https://page.auctions.yahoo.co.jp/jp/auction/k1215556120;¥62,000;2026-01-18 12:30 UTC
Yahoo;2000;ネオジオ ザキングオブファイターズ2000 NEOGEO SNK ロムカセット;https://page.auctions.yahoo.co.jp/jp/auction/z342410076;¥60,000;2026-01-19 14:01 UTC
Yahoo;2000;中古品 ゲーム ネオジオ SNK ザ・キング・オブ・ファイターズ 2000 カセット;https://page.auctions.yahoo.co.jp/jp/auction/w1216675337;¥44,550;2026-01-22 13:47 UTC
Yahoo;2000;ザ・キング・オブ・ファイターズ2000　　テレホンカード ２　　テレカ　ネオジオ;https://page.auctions.yahoo.co.jp/jp/auction/p1216555630;¥8,800;2026-01-25 13:10 UTC
Mercari;2000;き*い様 ザ・キング・オブ・ファイターズ 2000 ネオジオ　ソフト(ROM);https://jp.mercari.com/item/m33734642031;¥55,000;2026-01-26 14:50 UTC
Yahoo;2000;ザ・キング・オブ・ファイターズ2000　　テレホンカード 　　テレカ　ネオジオ;https://page.auctions.yahoo.co.jp/jp/auction/s1216562250;¥8,000;2026-01-29 13:57 UTC
Yahoo;2000;NG ネオジオROM ザ・キング・オブ・ファイターズ 2000 KOF エスエヌケイ SNK NEOGEO 説明書付き;https://page.auctions.yahoo.co.jp/jp/auction/q1217645447;¥45,500;2026-02-07 12:46 UTC
Yahoo;2000;#【SNK NEOGEO ザ・キング・オブ・ファイターズ 2000 ネオジオ ゲームソフト ロムカセット 元箱 レトロ 動作未確認 ジャンク品】R01241;https://page.auctions.yahoo.co.jp/jp/auction/e1218719131;¥22,000;2026-02-10 13:49 UTC
Yahoo;2000;【中古】NG）【動作確認済】SNK/ザ・キング・オブ・ファイターズ2000/ネオジオ ROMカセット [240006542796];https://page.auctions.yahoo.co.jp/jp/auction/k1205063940;¥54,780;2026-02-21 13:55 UTC
Yahoo;2000;ネオジオ NEO GEO ロムカセット THE KING OF FIGHTERS 2000 ザ・キング・オブ・ファイターズ ゲームソフト 現状品;https://page.auctions.yahoo.co.jp/jp/auction/t1221274348;¥45,001;2026-03-04 14:39 UTC
Yahoo;2000;1円〜 動作品 NG ネオジオROM ザ・キング・オブ・ファイターズ 2000 KOF エス・エヌ・ケイ SNK NEOGEO 箱説付【10;https://page.auctions.yahoo.co.jp/jp/auction/s1221611522;¥57,200;2026-03-08 12:42 UTC
Yahoo;2000;ＳＮＫ／ネオジオ　THE KING OF FIGHTERS 2000　ザ・キング・オブ・ファイターズ２０００;https://page.auctions.yahoo.co.jp/jp/auction/c1223620778;¥5,361;2026-03-23 14:20 UTC
Mercari;2000;ネオジオ ザ・キング・オブ・ファイターズ2000 ロム;https://jp.mercari.com/item/m52258468447;¥55,555;2026-03-25 11:36 UTC
Yahoo;2000;【ネオジオソフト】ザ・キング・オブ・ファイターズ2000 ROM SNK 箱説付;https://page.auctions.yahoo.co.jp/jp/auction/z584952152;¥59,980;2026-03-31 09:33 UTC
Yahoo;2000;1円〜 希少 ザ・キングオブ・ファイターズ 2000 NEOGEO SNK 688メガ ロムカセット 付属品あり 対戦 ネオジオ ゲームソフト 0326G②;https://page.auctions.yahoo.co.jp/jp/auction/e1224288162;¥52,000;2026-04-02 13:11 UTC
Mercari;2000;【動作確認済・美品】NEOGEO KOF 2000 説明書付;https://jp.mercari.com/item/m22442825845;¥72,800;2026-04-14 02:53 UTC
Yahoo;2000;コレクター放出 ザ・キング・オブ・ファイターズ 2000　KOF2000　THE KING OF FIGHTERS 2000 SNK　NEOGEO;https://page.auctions.yahoo.co.jp/jp/auction/p1226180565;¥56,000;2026-04-15 13:23 UTC
Yahoo;2000;【中古・説欠品】：ザ・キング・オブ・ファイターズ 2000 ネオジオ NEOGEO KOF SNK ゲームソフト ※動作未確認(20260414);https://page.auctions.yahoo.co.jp/jp/auction/l1226519024;¥36,500;2026-05-01 13:57 UTC
Mercari;2000;動作確認済/ THE KING OF FIGHTERS 2000 ネオジオROM;https://jp.mercari.com/item/m57693608920;¥45,000;2026-05-14 08:31 UTC
Yahoo;2000;(W34405)THE KING OF FIGHTERS 2000 ザ キング オブ ファイターズ 2000 NEOGEO ROM ネオジオ ロム カセット ゲーム 動作未確認 ジャンク;https://page.auctions.yahoo.co.jp/jp/auction/k1229419347;¥76,000;2026-05-15 13:26 UTC
Mercari;2000;【動作確認済】ザキングオブファイターズ 2000 NEOGEO ROM KOF;https://jp.mercari.com/item/m84076156298;¥120,000;2026-05-18 13:35 UTC
Yahoo;2000;【箱付き】【動作品】ザ・キング・オブ・ファイターズ2000 ネオジオ NEOGEO;https://page.auctions.yahoo.co.jp/jp/auction/d1230319221;¥73,700;2026-05-21 14:11 UTC
Yahoo;2000;(管106488)【ゲームソフト】THE KING OF FIGHTERS 2000 ザキングオブファイターズ KOF ネオジオ NEOGEO ROM 箱説有 現状品 動作未チェック;https://page.auctions.yahoo.co.jp/jp/auction/c1230915340;¥67,666;2026-05-29 12:58 UTC
