Titre;URL;Prix;Statut;Created;Description
中古 帯付　3枚　真サムライスピリッツ・餓狼伝説3・ザキングオブファイター95;https://jp.mercari.com/item/m33440438220;¥6,900;ON_SALE;2026-05-31 14:40 UTC;
SNK NEOGEO ネオジオ 真サムライスピリッツ　覇王丸地獄変;https://jp.mercari.com/item/m29297258737;¥26,900;SOLD_OUT;2026-05-31 13:48 UTC;プチプチで保護して発送致します 動作確認済みです  中古品となりますのでご理解頂ける方のみご購入して頂ければ幸いです  ケース: 少しイタミあり  ジャケット:少しイタミと少し汚れあり  ⚠️ノークレームノーリターンでお願いしております。  何かあれば質問お受けしております、お値下げは考えておりません、宜しくお願い致します
SNK NEOGEO ネオジオ サムライスピリッツSamurai Spirits;https://jp.mercari.com/item/m44228322252;¥19,900;SOLD_OUT;2026-05-31 13:31 UTC;プチプチで保護して発送致します 動作確認済みです  中古品となりますのでご理解頂ける方のみご購入して頂ければ幸いです  説明書: 無し  ケース:少しイタミあり  ジャケットの裏:少し汚れあり  お値下げは考えておりません、宜しくお願い致します
ネオジオCD サムライスピリッツ斬紅郎無双剣;https://jp.mercari.com/item/m81687555753;¥1,900;SOLD_OUT;2026-03-08 12:01 UTC;SNK NEOGEO CD  SAMURAI Samurai Spirits Zankuro Musouken    サムライスピリッツ斬紅郎無双剣    経年による小傷がありますが特に大きなダメージはありません。ディスクも綺麗です。
NEOGEO 真サムライスピリッツ 覇王丸地獄変 ROM;https://jp.mercari.com/item/m80799792226;¥18,000;SOLD_OUT;2026-05-31 08:55 UTC;NEOGEO 真サムライスピリッツ 覇王丸地獄変 ROM  説明文 NEOGEO ROMソフト 「真サムライスピリッツ 覇王丸地獄変」です。  SNKの人気対戦格闘ゲームで、現在では入手困難なNEOGEO ROMカセットです。  【付属品】 ・ROMカセット ・取扱説明書 ・ケース ※写真に写っているものが全てです。  動作環境がないため、動作確認は行っておりません。  本体・ケース・説明書には経年保管によるスレ、キズ、汚れ等がございます。状態は写真にてご確認ください。  希少なNEOGEO ROMソフトのため、コレクションにもおすすめです。  ※動作未確認のためジャンク扱い・現状品として出品
【動作確認済】真サムライスピリッツ ネオジオ ROMカセット NEOGEO;https://jp.mercari.com/item/m38237079384;¥22,000;SOLD_OUT;2026-05-31 05:31 UTC;SNK ネオジオ（NEOGEO）用ROMカセット『真サムライスピリッツ』の出品です。    【商品内容】  ROMカセット、ケース、説明書あり    【状態】  経年劣化による擦れや傷があります。  ケース角内側部分に割れがあります(画像10枚目)  状態の詳細はトラブル防止のため写真にてしっかりとご確認をお願いいたします。    【動作確認】  実機にて動作確認済みです。  ただし、30年以上前のレトロゲームであるため、ご購入者様の本体環境（機器の相性、端子の汚れ、本体のメンテナンス状態など）によっては起動しにくい・認識しづらいケースがあるかもしれません。  大変恐縮ですが、お届け後の動作保
非売品！未使用、未開封　SAMURAI SPIRITS NEOGEO CD版;https://jp.mercari.com/item/2JRwUm8Qnz92Xj2TvjFK5H;¥2,340;ON_SALE;2026-05-31 05:02 UTC;
ネオジオソフト真サムライスピリッツ　覇王丸地獄変;https://jp.mercari.com/item/m75445369837;¥12,800;SOLD_OUT;2026-05-31 01:53 UTC;ネオジオソフトの真サムライスピリッツ 箱付き、説明書付きです。
【美品】レトロゲーム サムライスピリッツ ネオジオ 1993;https://jp.mercari.com/item/m33603255115;¥15,000;SOLD_OUT;2026-05-31 01:43 UTC;説明書付き SAMURAI SPIRITS NEOGEO   宅配便コンパクトにて発送させていただきます。
真サムライ スピリッツ NCD 【NEOGEO】;https://jp.mercari.com/item/2JRYrADvBdP9EnEA6Lg2xc;¥1,141;SOLD_OUT;2026-05-22 11:19 UTC;
真サムライスピリッツ NEOGEO CD;https://jp.mercari.com/item/m78715437775;¥1,200;SOLD_OUT;2026-05-31 00:29 UTC;15人の剣士による武器破壊必殺技を搭載した、NEOGEO CD用カタナバトルアクションゲーム。  - タイトル: 真サムライスピリッツ - 対応ハード: NEOGEO CD - ジャンル: KATANA BATTLE ACTION GAME - 型番: NGCD-063 - プレイ人数: 2P対戦可能  ご覧いただきありがとうございます。
