Titre;URL;Prix;Statut;Created;Description
（ポスター付き）月刊ネオジオフリーク 1998年5月号ダメージアリ;https://jp.mercari.com/item/m93752588497;¥3,200;ON_SALE;2026-04-27 21:58 UTC;
B2ポスターセット K' ネームレス KOF2002 EVOJAPAN2026;https://jp.mercari.com/item/m79834034189;¥5,888;ON_SALE;2026-06-06 00:13 UTC;
SNK アクリルブロック ロック・ハワード 餓狼伝説 EVOJAPAN2026;https://jp.mercari.com/item/m32544108463;¥4,900;ON_SALE;2026-06-09 08:34 UTC;
SNK NEO GEO CDZ 本体　ソフト9種類;https://jp.mercari.com/item/m46933776800;¥70,000;ON_SALE;2026-06-09 12:01 UTC;
NEOGEO リアルバウト餓狼伝説2;https://jp.mercari.com/item/m37640855732;¥75,000;SOLD_OUT;2026-06-09 07:54 UTC;NEOGEO リアルバウト餓狼伝説2 です。  ・外箱あり ・カートリッジあり ・取扱い説明書あり   動作確認済み。 カートリッジ自体にもパッケージにも多少傷があります。説明書は少し折れています。 写真で状態を確認してください。 質問等あれば、必ずご購入前にコメント下さい。  中古品・レトロゲームにご理解のある方のみご購入をお願いいたします。  気泡緩衝材で包み、らくらくメルカリ便で「宅急便」で発送します。  #リアルバウト餓狼伝説2 #neogeo #ネオジオソフト #ネオジオ
【中古】アーケード NEOGEO (MVS)用基板 リアルバウト餓狼伝説2 -THE NEWCOMERS- [基板のみ];https://jp.mercari.com/item/2JSL4V7kUAZvMu8x4EKZEB;¥20,500;SOLD_OUT;2026-06-08 13:01 UTC;
SNK アクリルブロック ロック・ハワード 餓狼伝説 EVOJAPAN2026;https://jp.mercari.com/item/m30838321035;¥5,900;SOLD_OUT;2026-06-08 11:51 UTC;アクリルスタンド リアルバウト餓狼伝説 餓狼伝説City of the Wolves ビリー・カーン ボックス・スリーパー カイン・R・ハインライン CotW KOF ザ・キング・オブ・ファイターズ THE KING OF FIGHTERS NEOGEO ネオジオ  新品未開封。約10×15×厚さ2cmサイズ プチプチ+封筒発送します。  #まさKOFグッズ
餓狼伝説バトルアーカイブス2 PS2 （商品説明を必ず参照ください）;https://jp.mercari.com/item/m40159447206;¥2,100;TRADING;2026-06-08 10:56 UTC;『リアルバウト餓狼伝説』『リアルバウト餓狼伝説SPECIAL』『リアルバウト餓狼伝説2』の3タイトルを収録したPlayStation 2用格闘ゲームソフトです。  - 対応機種: PlayStation 2 - シリーズ名: NEOGEOオンラインコレクション - 収録タイトル: リアルバウト餓狼伝説、リアルバウト餓狼伝説SPECIAL、リアルバウト餓狼伝説2 - CEROレーティング: B (12才以上対象) - オンライン対応: 対応  ディスクは大きな傷もなく、問題なくプレイ可能。 説明書はありません。 パッケージはダミージャケットになります。  ご了承の上ご購入頂きますよう、何卒 よろ
SNK B2ポスターセット ロック・ハワード 餓狼伝説 EVOJAPAN2026;https://jp.mercari.com/item/m15790890155;¥6,555;TRADING;2026-06-06 14:12 UTC;餓狼伝説City of the Wolves ポスター ギース・ハワード ビリー・カーン ボックス・スリーパー カイン・R・ハインライン CotW KOF ザ・キング・オブ・ファイターズ THE KING OF FIGHTERS リアルバウト餓狼伝説 NEOGEO ネオジオ  新品未開封です。 紙製2枚セット（画像2枚目は現物です、2枚重なって包装されています）。  筒状に丸めて段ボール梱包発送します。  #まさKOFグッズ
【中古】ゲームミュージックCD SNK ARCADE SOUND DIGITAL COLLECTION Vol.16;https://jp.mercari.com/item/2JJmxC8vbn6V9jbmP9jsUU;¥2,000;ON_SALE;2025-12-24 10:22 UTC;
